763	Benin	UF People's Republic of Benin; Dahomey; Benin People's Republic / SN Avoid confusion with Benin in Nigeria / BT Francophone Africa; West Africa	location
28603	Berlin	UF East Berlin; West Berlin / BT Germany	location
175	Bermuda	BT North America	location
391	Bhutan	UF Kingdom of Bhutan / BT South Asia	location
30511	Black Sea	BT seas	location
517	Bolivia (Plurinational State of)	UF Bolivia; Republic of Bolivia; Plurinational State of Bolivia / SN As of 7 April 2009, name changed from Bolivia to Plurinational State of Bolivia in accordance with 2009 constitutional decree. Short form: Bolivia (Plurinational State of). Source: UNTERM / BT South America	location
382	Borneo	SN Use to refer to the island as a whole. / DF An island in the Malay Archipelago forming part of Malaysia in the northern region and part of Indonesia in the southern region. / BT Pacific Islands; South East Asia	location
553	Bosnia and Herzegovina	UF Republic of Bosnia and Herzegovina; Hercegovina; Bosnia-Herzegovina; Bosnia-Hercegovina; Hercegovina-Bosnia; Herzegovina; Bosnia; Herzegovina-Bosnia / BT Mediterranean region; Balkans	location
571	Botswana	UF Republic of Botswana; Bechuanaland / BT Southern Africa	location
13300	Brandenburg	BT New Laender	location
184	Brazil	UF Federative Republic of Brazil; Pará (Brazil); Alagoas; Acre (Brazil); Goiás; Para (Brazil); Para State (Brazil); Amapa; Roraima; Brasil; Rondonia; Tocantins; Formosa (Goiás); Minas Gerias; Sergipe / BT Latin America; South America	location
27196	Brazil (Federal District)	UF Federal district (Brazil); Brasilia; Distrito Federal / BT Brazil	location
13855	British Columbia	BT Canada	location
487	British Indian Ocean Territory	UF Chagos Archipelago; BIOT / BT geographical regions	location
490	British Virgin Islands	UF Tortola; Virgin Gorda; Jost Van Dyke; Virgin Islands (British); Anegada; Virgin Islands (UK) / BT Caribbean	location
16483	Brittany	BT France	location
676	Brunei Darussalam	UF Brunei / BT Borneo	location
26251	Buenos Aires	BT Argentina	location
103	Bulgaria	UF People's Republic of Bulgaria / SN The European country; for the fungal genus, use 'Bulgaria (Fungi)'. / BT Eastern European region; Balkans	location
25606	Burgundy	BT France	location
244	Burkina Faso	UF Upper Volta; Republic of the Upper Volta; Bourkina Fasso / BT Francophone Africa; West Africa	location
466	Burundi	UF Republic of Burundi / BT Francophone Africa; East Africa; Central Africa	location
22834	Calabria	BT Italy	location
3115	California	BT Western States of USA	location
118	Cambodia	UF Democratic Kampuchea; Kampuchea; Khmer Republic / BT South East Asia	location
436	Cameroon	UF United Republic of Cameroon; Cameroun / BT Francophone Africa; Central Africa	location
16099	Campania	BT Italy	location
88	Canada	UF Canadian provinces / BT North America	location
14122	Canary Islands	BT Spain	location
412	Canton and Enderbury Islands	UF Enderbury Island / BT Kiribati	location
409	Cape Verde	UF Cape Verde Islands; Republic of Cape Verde; Republic of Cabo Verde; Cabo Verde; Carbo Verde; Boa Vista Island / BT West Africa	location
6832	Caribbean	UF West Indies; Anguilla Island; Windward Islands; Leeward Islands; Lesser Antilles; Greater Antilles / DF The region including the Caribbean Sea, its islands, and the countries on its Central and/or South American coasts. / BT Americas	location
655	Caroline Islands	BT Pacific Islands	location
49	Cayman Brac	BT Caribbean	location
